"period_label","period_hour","time_offset_sec","timestamp","serving_bs_id","users_present","active_nodes"
"night",2,0,"2025-01-01 02:00:00","BS_1",2,1
"night",2,0,"2025-01-01 02:00:00","BS_10",1,1
"night",2,0,"2025-01-01 02:00:00","BS_11",1,1
NA,2,0,"2025-01-01 02:00:00","BS_2",0,0
NA,2,0,"2025-01-01 02:00:00","BS_3",0,0
"night",2,0,"2025-01-01 02:00:00","BS_4",1,1
"night",2,0,"2025-01-01 02:00:00","BS_5",2,1
"night",2,0,"2025-01-01 02:00:00","BS_6",2,1
NA,2,0,"2025-01-01 02:00:00","BS_7",0,0
NA,2,0,"2025-01-01 02:00:00","BS_8",0,0
"night",2,0,"2025-01-01 02:00:00","BS_9",2,1
"night",2,1,"2025-01-01 02:00:01","BS_1",2,1
"night",2,1,"2025-01-01 02:00:01","BS_10",1,1
"night",2,1,"2025-01-01 02:00:01","BS_11",1,1
NA,2,1,"2025-01-01 02:00:01","BS_2",0,0
NA,2,1,"2025-01-01 02:00:01","BS_3",0,0
"night",2,1,"2025-01-01 02:00:01","BS_4",1,1
"night",2,1,"2025-01-01 02:00:01","BS_5",2,1
"night",2,1,"2025-01-01 02:00:01","BS_6",2,1
NA,2,1,"2025-01-01 02:00:01","BS_7",0,0
NA,2,1,"2025-01-01 02:00:01","BS_8",0,0
"night",2,1,"2025-01-01 02:00:01","BS_9",2,1
"night",2,2,"2025-01-01 02:00:02","BS_1",2,1
"night",2,2,"2025-01-01 02:00:02","BS_10",1,1
"night",2,2,"2025-01-01 02:00:02","BS_11",1,1
NA,2,2,"2025-01-01 02:00:02","BS_2",0,0
NA,2,2,"2025-01-01 02:00:02","BS_3",0,0
"night",2,2,"2025-01-01 02:00:02","BS_4",1,1
"night",2,2,"2025-01-01 02:00:02","BS_5",1,1
"night",2,2,"2025-01-01 02:00:02","BS_6",3,1
NA,2,2,"2025-01-01 02:00:02","BS_7",0,0
NA,2,2,"2025-01-01 02:00:02","BS_8",0,0
"night",2,2,"2025-01-01 02:00:02","BS_9",1,1
"night",2,3,"2025-01-01 02:00:03","BS_1",2,1
"night",2,3,"2025-01-01 02:00:03","BS_10",2,1
"night",2,3,"2025-01-01 02:00:03","BS_11",1,1
NA,2,3,"2025-01-01 02:00:03","BS_2",0,0
NA,2,3,"2025-01-01 02:00:03","BS_3",0,0
"night",2,3,"2025-01-01 02:00:03","BS_4",1,1
"night",2,3,"2025-01-01 02:00:03","BS_5",1,1
"night",2,3,"2025-01-01 02:00:03","BS_6",2,1
NA,2,3,"2025-01-01 02:00:03","BS_7",0,0
NA,2,3,"2025-01-01 02:00:03","BS_8",0,0
"night",2,3,"2025-01-01 02:00:03","BS_9",0,0
"night",2,4,"2025-01-01 02:00:04","BS_1",2,1
"night",2,4,"2025-01-01 02:00:04","BS_10",2,1
"night",2,4,"2025-01-01 02:00:04","BS_11",1,1
NA,2,4,"2025-01-01 02:00:04","BS_2",0,0
NA,2,4,"2025-01-01 02:00:04","BS_3",0,0
"night",2,4,"2025-01-01 02:00:04","BS_4",1,1
"night",2,4,"2025-01-01 02:00:04","BS_5",1,1
"night",2,4,"2025-01-01 02:00:04","BS_6",2,1
NA,2,4,"2025-01-01 02:00:04","BS_7",0,0
NA,2,4,"2025-01-01 02:00:04","BS_8",0,0
"night",2,4,"2025-01-01 02:00:04","BS_9",0,0
"night",2,5,"2025-01-01 02:00:05","BS_1",2,1
"night",2,5,"2025-01-01 02:00:05","BS_10",2,1
"night",2,5,"2025-01-01 02:00:05","BS_11",1,1
NA,2,5,"2025-01-01 02:00:05","BS_2",0,0
NA,2,5,"2025-01-01 02:00:05","BS_3",0,0
"night",2,5,"2025-01-01 02:00:05","BS_4",0,0
"night",2,5,"2025-01-01 02:00:05","BS_5",1,1
"night",2,5,"2025-01-01 02:00:05","BS_6",2,1
NA,2,5,"2025-01-01 02:00:05","BS_7",0,0
NA,2,5,"2025-01-01 02:00:05","BS_8",0,0
"night",2,5,"2025-01-01 02:00:05","BS_9",0,0
"night",2,6,"2025-01-01 02:00:06","BS_1",2,1
"night",2,6,"2025-01-01 02:00:06","BS_10",2,1
"night",2,6,"2025-01-01 02:00:06","BS_11",1,1
NA,2,6,"2025-01-01 02:00:06","BS_2",0,0
NA,2,6,"2025-01-01 02:00:06","BS_3",0,0
"night",2,6,"2025-01-01 02:00:06","BS_4",0,0
"night",2,6,"2025-01-01 02:00:06","BS_5",1,1
"night",2,6,"2025-01-01 02:00:06","BS_6",2,1
NA,2,6,"2025-01-01 02:00:06","BS_7",0,0
NA,2,6,"2025-01-01 02:00:06","BS_8",0,0
"night",2,6,"2025-01-01 02:00:06","BS_9",0,0
"night",2,7,"2025-01-01 02:00:07","BS_1",2,1
"night",2,7,"2025-01-01 02:00:07","BS_10",2,1
"night",2,7,"2025-01-01 02:00:07","BS_11",1,1
NA,2,7,"2025-01-01 02:00:07","BS_2",0,0
NA,2,7,"2025-01-01 02:00:07","BS_3",0,0
"night",2,7,"2025-01-01 02:00:07","BS_4",0,0
"night",2,7,"2025-01-01 02:00:07","BS_5",1,1
"night",2,7,"2025-01-01 02:00:07","BS_6",2,1
NA,2,7,"2025-01-01 02:00:07","BS_7",0,0
NA,2,7,"2025-01-01 02:00:07","BS_8",0,0
"night",2,7,"2025-01-01 02:00:07","BS_9",0,0
"night",2,8,"2025-01-01 02:00:08","BS_1",2,1
"night",2,8,"2025-01-01 02:00:08","BS_10",2,1
"night",2,8,"2025-01-01 02:00:08","BS_11",1,1
NA,2,8,"2025-01-01 02:00:08","BS_2",0,0
NA,2,8,"2025-01-01 02:00:08","BS_3",0,0
"night",2,8,"2025-01-01 02:00:08","BS_4",0,0
"night",2,8,"2025-01-01 02:00:08","BS_5",1,1
"night",2,8,"2025-01-01 02:00:08","BS_6",2,1
NA,2,8,"2025-01-01 02:00:08","BS_7",0,0
NA,2,8,"2025-01-01 02:00:08","BS_8",0,0
"night",2,8,"2025-01-01 02:00:08","BS_9",0,0
"night",2,9,"2025-01-01 02:00:09","BS_1",1,1
"night",2,9,"2025-01-01 02:00:09","BS_10",2,1
"night",2,9,"2025-01-01 02:00:09","BS_11",1,1
NA,2,9,"2025-01-01 02:00:09","BS_2",0,0
NA,2,9,"2025-01-01 02:00:09","BS_3",0,0
"night",2,9,"2025-01-01 02:00:09","BS_4",0,0
"night",2,9,"2025-01-01 02:00:09","BS_5",1,1
"night",2,9,"2025-01-01 02:00:09","BS_6",2,1
NA,2,9,"2025-01-01 02:00:09","BS_7",0,0
NA,2,9,"2025-01-01 02:00:09","BS_8",0,0
