"period_label","period_hour","time_offset_sec","serving_bs_id","users_present","active_poi"
"night",2,0,"BS_1",18,1
"night",2,0,"BS_10",19,1
"night",2,0,"BS_11",9,1
"night",2,0,"BS_4",9,1
"night",2,0,"BS_5",5,1
"night",2,0,"BS_6",26,1
"night",2,0,"BS_9",14,1
"night",2,1,"BS_1",18,1
"night",2,1,"BS_10",20,1
"night",2,1,"BS_11",10,1
"night",2,1,"BS_4",8,1
"night",2,1,"BS_5",5,1
"night",2,1,"BS_6",24,1
"night",2,1,"BS_9",15,1
"night",2,2,"BS_1",16,1
"night",2,2,"BS_10",21,1
"night",2,2,"BS_11",11,1
"night",2,2,"BS_4",7,1
"night",2,2,"BS_5",5,1
"night",2,2,"BS_6",24,1
"night",2,2,"BS_9",16,1
"night",2,3,"BS_1",17,1
"night",2,3,"BS_10",20,1
"night",2,3,"BS_11",9,1
"night",2,3,"BS_4",6,1
"night",2,3,"BS_5",6,1
"night",2,3,"BS_6",24,1
"night",2,3,"BS_9",18,1
"night",2,4,"BS_1",16,1
"night",2,4,"BS_10",20,1
"night",2,4,"BS_11",9,1
"night",2,4,"BS_4",6,1
"night",2,4,"BS_5",7,1
"night",2,4,"BS_6",25,1
"night",2,4,"BS_9",17,1
"night",2,5,"BS_1",19,1
"night",2,5,"BS_10",19,1
"night",2,5,"BS_11",8,1
"night",2,5,"BS_4",2,1
"night",2,5,"BS_5",6,1
"night",2,5,"BS_6",27,1
"night",2,5,"BS_9",19,1
"night",2,6,"BS_1",19,1
"night",2,6,"BS_10",19,1
"night",2,6,"BS_11",9,1
"night",2,6,"BS_4",4,1
"night",2,6,"BS_5",7,1
"night",2,6,"BS_6",23,1
"night",2,6,"BS_9",19,1
"night",2,7,"BS_1",19,1
"night",2,7,"BS_10",18,1
"night",2,7,"BS_11",10,1
"night",2,7,"BS_4",6,1
"night",2,7,"BS_5",6,1
"night",2,7,"BS_6",22,1
"night",2,7,"BS_9",19,1
"night",2,8,"BS_1",19,1
"night",2,8,"BS_10",18,1
"night",2,8,"BS_11",9,1
"night",2,8,"BS_4",6,1
"night",2,8,"BS_5",6,1
"night",2,8,"BS_6",24,1
"night",2,8,"BS_9",18,1
"night",2,9,"BS_1",19,1
"night",2,9,"BS_10",18,1
"night",2,9,"BS_11",8,1
"night",2,9,"BS_4",7,1
"night",2,9,"BS_5",5,1
"night",2,9,"BS_6",24,1
"night",2,9,"BS_9",19,1
"night",2,10,"BS_1",19,1
"night",2,10,"BS_10",19,1
"night",2,10,"BS_11",8,1
"night",2,10,"BS_4",7,1
"night",2,10,"BS_5",5,1
"night",2,10,"BS_6",22,1
"night",2,10,"BS_9",20,1
"night",2,11,"BS_1",19,1
"night",2,11,"BS_10",19,1
"night",2,11,"BS_11",8,1
"night",2,11,"BS_4",7,1
"night",2,11,"BS_5",5,1
"night",2,11,"BS_6",22,1
"night",2,11,"BS_9",20,1
"night",2,12,"BS_1",22,1
"night",2,12,"BS_10",17,1
"night",2,12,"BS_11",5,1
"night",2,12,"BS_4",8,1
"night",2,12,"BS_5",7,1
"night",2,12,"BS_6",23,1
"night",2,12,"BS_9",18,1
"night",2,13,"BS_1",19,1
"night",2,13,"BS_10",18,1
"night",2,13,"BS_11",6,1
"night",2,13,"BS_4",8,1
"night",2,13,"BS_5",8,1
"night",2,13,"BS_6",22,1
"night",2,13,"BS_9",19,1
"night",2,14,"BS_1",17,1
"night",2,14,"BS_10",19,1
"night",2,14,"BS_11",5,1
"night",2,14,"BS_4",8,1
"night",2,14,"BS_5",8,1
"night",2,14,"BS_6",24,1
"night",2,14,"BS_9",19,1
"night",2,15,"BS_1",19,1
"night",2,15,"BS_10",19,1
"night",2,15,"BS_11",5,1
"night",2,15,"BS_4",8,1
"night",2,15,"BS_5",7,1
"night",2,15,"BS_6",23,1
"night",2,15,"BS_9",19,1
"night",2,16,"BS_1",17,1
"night",2,16,"BS_10",17,1
"night",2,16,"BS_11",4,1
"night",2,16,"BS_4",7,1
"night",2,16,"BS_5",8,1
"night",2,16,"BS_6",25,1
"night",2,16,"BS_9",22,1
"night",2,17,"BS_1",18,1
"night",2,17,"BS_10",19,1
"night",2,17,"BS_11",4,1
"night",2,17,"BS_4",6,1
"night",2,17,"BS_5",7,1
"night",2,17,"BS_6",25,1
"night",2,17,"BS_9",21,1
"night",2,18,"BS_1",17,1
"night",2,18,"BS_10",18,1
"night",2,18,"BS_11",4,1
"night",2,18,"BS_4",6,1
"night",2,18,"BS_5",8,1
