"period_label","period_hour","time_offset_sec","serving_bs_id","users_present","active_poi"
"offpeak",11,0,"BS_1",22,1
"offpeak",11,0,"BS_10",18,1
"offpeak",11,0,"BS_11",7,1
"offpeak",11,0,"BS_4",11,1
"offpeak",11,0,"BS_5",12,1
"offpeak",11,0,"BS_6",18,1
"offpeak",11,0,"BS_9",12,1
"offpeak",11,1,"BS_1",22,1
"offpeak",11,1,"BS_10",16,1
"offpeak",11,1,"BS_11",8,1
"offpeak",11,1,"BS_4",11,1
"offpeak",11,1,"BS_5",12,1
"offpeak",11,1,"BS_6",20,1
"offpeak",11,1,"BS_9",11,1
"offpeak",11,2,"BS_1",26,1
"offpeak",11,2,"BS_10",15,1
"offpeak",11,2,"BS_11",6,1
"offpeak",11,2,"BS_4",13,1
"offpeak",11,2,"BS_5",10,1
"offpeak",11,2,"BS_6",20,1
"offpeak",11,2,"BS_9",10,1
"offpeak",11,3,"BS_1",23,1
"offpeak",11,3,"BS_10",15,1
"offpeak",11,3,"BS_11",5,1
"offpeak",11,3,"BS_4",10,1
"offpeak",11,3,"BS_5",14,1
"offpeak",11,3,"BS_6",21,1
"offpeak",11,3,"BS_9",12,1
"offpeak",11,4,"BS_1",21,1
"offpeak",11,4,"BS_10",16,1
"offpeak",11,4,"BS_11",7,1
"offpeak",11,4,"BS_4",9,1
"offpeak",11,4,"BS_5",12,1
"offpeak",11,4,"BS_6",21,1
"offpeak",11,4,"BS_9",14,1
"offpeak",11,5,"BS_1",24,1
"offpeak",11,5,"BS_10",15,1
"offpeak",11,5,"BS_11",6,1
"offpeak",11,5,"BS_4",8,1
"offpeak",11,5,"BS_5",12,1
"offpeak",11,5,"BS_6",21,1
"offpeak",11,5,"BS_9",14,1
"offpeak",11,6,"BS_1",23,1
"offpeak",11,6,"BS_10",17,1
"offpeak",11,6,"BS_11",6,1
"offpeak",11,6,"BS_4",8,1
"offpeak",11,6,"BS_5",12,1
"offpeak",11,6,"BS_6",21,1
"offpeak",11,6,"BS_9",13,1
"offpeak",11,7,"BS_1",23,1
"offpeak",11,7,"BS_10",18,1
"offpeak",11,7,"BS_11",4,1
"offpeak",11,7,"BS_4",4,1
"offpeak",11,7,"BS_5",14,1
"offpeak",11,7,"BS_6",22,1
"offpeak",11,7,"BS_9",15,1
"offpeak",11,8,"BS_1",22,1
"offpeak",11,8,"BS_10",19,1
"offpeak",11,8,"BS_11",4,1
"offpeak",11,8,"BS_4",4,1
"offpeak",11,8,"BS_5",10,1
"offpeak",11,8,"BS_6",25,1
"offpeak",11,8,"BS_9",16,1
"offpeak",11,9,"BS_1",20,1
"offpeak",11,9,"BS_10",21,1
"offpeak",11,9,"BS_11",5,1
"offpeak",11,9,"BS_4",5,1
"offpeak",11,9,"BS_5",7,1
"offpeak",11,9,"BS_6",27,1
"offpeak",11,9,"BS_9",15,1
"offpeak",11,10,"BS_1",18,1
"offpeak",11,10,"BS_10",23,1
"offpeak",11,10,"BS_11",8,1
"offpeak",11,10,"BS_4",5,1
"offpeak",11,10,"BS_5",8,1
"offpeak",11,10,"BS_6",23,1
"offpeak",11,10,"BS_9",15,1
"offpeak",11,11,"BS_1",21,1
"offpeak",11,11,"BS_10",20,1
"offpeak",11,11,"BS_11",7,1
"offpeak",11,11,"BS_4",3,1
"offpeak",11,11,"BS_5",8,1
"offpeak",11,11,"BS_6",26,1
"offpeak",11,11,"BS_9",15,1
"offpeak",11,12,"BS_1",23,1
"offpeak",11,12,"BS_10",20,1
"offpeak",11,12,"BS_11",7,1
"offpeak",11,12,"BS_4",3,1
"offpeak",11,12,"BS_5",6,1
"offpeak",11,12,"BS_6",26,1
"offpeak",11,12,"BS_9",15,1
"offpeak",11,13,"BS_1",21,1
"offpeak",11,13,"BS_10",21,1
"offpeak",11,13,"BS_11",7,1
"offpeak",11,13,"BS_4",3,1
"offpeak",11,13,"BS_5",7,1
"offpeak",11,13,"BS_6",23,1
"offpeak",11,13,"BS_9",18,1
"offpeak",11,14,"BS_1",21,1
"offpeak",11,14,"BS_10",17,1
"offpeak",11,14,"BS_11",6,1
"offpeak",11,14,"BS_4",7,1
"offpeak",11,14,"BS_5",9,1
"offpeak",11,14,"BS_6",23,1
"offpeak",11,14,"BS_9",17,1
"offpeak",11,15,"BS_1",21,1
"offpeak",11,15,"BS_10",17,1
"offpeak",11,15,"BS_11",5,1
"offpeak",11,15,"BS_4",9,1
"offpeak",11,15,"BS_5",10,1
"offpeak",11,15,"BS_6",23,1
"offpeak",11,15,"BS_9",15,1
"offpeak",11,16,"BS_1",21,1
"offpeak",11,16,"BS_10",19,1
"offpeak",11,16,"BS_11",6,1
"offpeak",11,16,"BS_4",8,1
"offpeak",11,16,"BS_5",8,1
"offpeak",11,16,"BS_6",23,1
"offpeak",11,16,"BS_9",15,1
"offpeak",11,17,"BS_1",19,1
"offpeak",11,17,"BS_10",18,1
"offpeak",11,17,"BS_11",9,1
"offpeak",11,17,"BS_4",9,1
"offpeak",11,17,"BS_5",8,1
"offpeak",11,17,"BS_6",23,1
"offpeak",11,17,"BS_9",14,1
"offpeak",11,18,"BS_1",17,1
"offpeak",11,18,"BS_10",15,1
"offpeak",11,18,"BS_11",11,1
"offpeak",11,18,"BS_4",7,1
"offpeak",11,18,"BS_5",9,1
"offpeak",11,18,"BS_6",28,1
"offpeak",11,18,"BS_9",13,1
"offpeak",11,19,"BS_1",20,1
"offpeak",11,19,"BS_10",17,1
"offpeak",11,19,"BS_11",10,1
"offpeak",11,19,"BS_4",4,1
"offpeak",11,19,"BS_5",9,1
"offpeak",11,19,"BS_6",27,1
"offpeak",11,19,"BS_9",13,1
"offpeak",11,20,"BS_1",21,1
"offpeak",11,20,"BS_10",20,1
"offpeak",11,20,"BS_11",11,1
"offpeak",11,20,"BS_4",5,1
"offpeak",11,20,"BS_5",7,1
"offpeak",11,20,"BS_6",25,1
"offpeak",11,20,"BS_9",11,1
"offpeak",11,21,"BS_1",21,1
"offpeak",11,21,"BS_10",20,1
"offpeak",11,21,"BS_11",13,1
"offpeak",11,21,"BS_4",4,1
"offpeak",11,21,"BS_5",6,1
"offpeak",11,21,"BS_6",24,1
"offpeak",11,21,"BS_9",12,1
"offpeak",11,22,"BS_1",18,1
"offpeak",11,22,"BS_10",20,1
"offpeak",11,22,"BS_11",16,1
"offpeak",11,22,"BS_4",5,1
"offpeak",11,22,"BS_5",7,1
"offpeak",11,22,"BS_6",22,1
"offpeak",11,22,"BS_9",12,1
"offpeak",11,23,"BS_1",17,1
"offpeak",11,23,"BS_10",21,1
"offpeak",11,23,"BS_11",14,1
"offpeak",11,23,"BS_4",5,1
"offpeak",11,23,"BS_5",7,1
"offpeak",11,23,"BS_6",20,1
"offpeak",11,23,"BS_9",16,1
"offpeak",11,24,"BS_1",17,1
"offpeak",11,24,"BS_10",18,1
"offpeak",11,24,"BS_11",15,1
"offpeak",11,24,"BS_4",6,1
"offpeak",11,24,"BS_5",8,1
"offpeak",11,24,"BS_6",21,1
"offpeak",11,24,"BS_9",15,1
"offpeak",11,25,"BS_1",16,1
"offpeak",11,25,"BS_10",17,1
"offpeak",11,25,"BS_11",14,1
"offpeak",11,25,"BS_4",5,1
"offpeak",11,25,"BS_5",7,1
"offpeak",11,25,"BS_6",25,1
"offpeak",11,25,"BS_9",16,1
"offpeak",11,26,"BS_1",15,1
"offpeak",11,26,"BS_10",17,1
"offpeak",11,26,"BS_11",13,1
"offpeak",11,26,"BS_4",2,1
"offpeak",11,26,"BS_5",8,1
"offpeak",11,26,"BS_6",27,1
"offpeak",11,26,"BS_9",18,1
"offpeak",11,27,"BS_1",15,1
"offpeak",11,27,"BS_10",17,1
"offpeak",11,27,"BS_11",11,1
"offpeak",11,27,"BS_4",3,1
"offpeak",11,27,"BS_5",11,1
"offpeak",11,27,"BS_6",28,1
"offpeak",11,27,"BS_9",15,1
"offpeak",11,28,"BS_1",17,1
"offpeak",11,28,"BS_10",14,1
"offpeak",11,28,"BS_11",12,1
"offpeak",11,28,"BS_4",2,1
"offpeak",11,28,"BS_5",11,1
"offpeak",11,28,"BS_6",27,1
"offpeak",11,28,"BS_9",17,1
"offpeak",11,29,"BS_1",18,1
"offpeak",11,29,"BS_10",17,1
"offpeak",11,29,"BS_11",10,1
"offpeak",11,29,"BS_4",6,1
"offpeak",11,29,"BS_5",12,1
"offpeak",11,29,"BS_6",21,1
"offpeak",11,29,"BS_9",16,1
"offpeak",11,30,"BS_1",18,1
"offpeak",11,30,"BS_10",18,1
"offpeak",11,30,"BS_11",10,1
"offpeak",11,30,"BS_4",6,1
"offpeak",11,30,"BS_5",12,1
"offpeak",11,30,"BS_6",19,1
"offpeak",11,30,"BS_9",17,1
"offpeak",11,31,"BS_1",16,1
"offpeak",11,31,"BS_10",24,1
"offpeak",11,31,"BS_11",9,1
"offpeak",11,31,"BS_4",6,1
"offpeak",11,31,"BS_5",13,1
"offpeak",11,31,"BS_6",16,1
"offpeak",11,31,"BS_9",16,1
"offpeak",11,32,"BS_1",15,1
"offpeak",11,32,"BS_10",23,1
"offpeak",11,32,"BS_11",9,1
"offpeak",11,32,"BS_4",6,1
"offpeak",11,32,"BS_5",12,1
"offpeak",11,32,"BS_6",18,1
"offpeak",11,32,"BS_9",17,1
"offpeak",11,33,"BS_1",17,1
"offpeak",11,33,"BS_10",21,1
"offpeak",11,33,"BS_11",9,1
"offpeak",11,33,"BS_4",6,1
"offpeak",11,33,"BS_5",11,1
"offpeak",11,33,"BS_6",19,1
"offpeak",11,33,"BS_9",17,1
"offpeak",11,34,"BS_1",17,1
"offpeak",11,34,"BS_10",23,1
"offpeak",11,34,"BS_11",8,1
"offpeak",11,34,"BS_4",4,1
"offpeak",11,34,"BS_5",10,1
"offpeak",11,34,"BS_6",19,1
"offpeak",11,34,"BS_9",19,1
"offpeak",11,35,"BS_1",18,1
"offpeak",11,35,"BS_10",20,1
"offpeak",11,35,"BS_11",8,1
"offpeak",11,35,"BS_4",4,1
"offpeak",11,35,"BS_5",10,1
"offpeak",11,35,"BS_6",21,1
"offpeak",11,35,"BS_9",19,1
"offpeak",11,36,"BS_1",19,1
"offpeak",11,36,"BS_10",16,1
"offpeak",11,36,"BS_11",10,1
"offpeak",11,36,"BS_4",4,1
"offpeak",11,36,"BS_5",12,1
"offpeak",11,36,"BS_6",20,1
"offpeak",11,36,"BS_9",19,1
"offpeak",11,37,"BS_1",20,1
"offpeak",11,37,"BS_10",17,1
"offpeak",11,37,"BS_11",10,1
"offpeak",11,37,"BS_4",5,1
"offpeak",11,37,"BS_5",12,1
"offpeak",11,37,"BS_6",18,1
"offpeak",11,37,"BS_9",18,1
"offpeak",11,38,"BS_1",19,1
"offpeak",11,38,"BS_10",16,1
"offpeak",11,38,"BS_11",8,1
"offpeak",11,38,"BS_4",5,1
"offpeak",11,38,"BS_5",14,1
"offpeak",11,38,"BS_6",19,1
"offpeak",11,38,"BS_9",19,1
"offpeak",11,39,"BS_1",21,1
"offpeak",11,39,"BS_10",14,1
"offpeak",11,39,"BS_11",9,1
"offpeak",11,39,"BS_4",8,1
"offpeak",11,39,"BS_5",14,1
"offpeak",11,39,"BS_6",18,1
"offpeak",11,39,"BS_9",16,1
"offpeak",11,40,"BS_1",25,1
"offpeak",11,40,"BS_10",16,1
"offpeak",11,40,"BS_11",9,1
"offpeak",11,40,"BS_4",7,1
"offpeak",11,40,"BS_5",15,1
"offpeak",11,40,"BS_6",14,1
"offpeak",11,40,"BS_9",14,1
"offpeak",11,41,"BS_1",22,1
"offpeak",11,41,"BS_10",16,1
"offpeak",11,41,"BS_11",8,1
"offpeak",11,41,"BS_4",7,1
"offpeak",11,41,"BS_5",14,1
"offpeak",11,41,"BS_6",18,1
"offpeak",11,41,"BS_9",15,1
"offpeak",11,42,"BS_1",21,1
"offpeak",11,42,"BS_10",15,1
"offpeak",11,42,"BS_11",7,1
"offpeak",11,42,"BS_4",9,1
"offpeak",11,42,"BS_5",15,1
"offpeak",11,42,"BS_6",19,1
"offpeak",11,42,"BS_9",14,1
"offpeak",11,43,"BS_1",21,1
"offpeak",11,43,"BS_10",17,1
"offpeak",11,43,"BS_11",8,1
"offpeak",11,43,"BS_4",10,1
"offpeak",11,43,"BS_5",15,1
"offpeak",11,43,"BS_6",16,1
"offpeak",11,43,"BS_9",13,1
"offpeak",11,44,"BS_1",21,1
"offpeak",11,44,"BS_10",18,1
"offpeak",11,44,"BS_11",7,1
"offpeak",11,44,"BS_4",11,1
"offpeak",11,44,"BS_5",15,1
"offpeak",11,44,"BS_6",14,1
"offpeak",11,44,"BS_9",14,1
"offpeak",11,45,"BS_1",24,1
"offpeak",11,45,"BS_10",17,1
"offpeak",11,45,"BS_11",7,1
"offpeak",11,45,"BS_4",11,1
"offpeak",11,45,"BS_5",14,1
"offpeak",11,45,"BS_6",14,1
"offpeak",11,45,"BS_9",13,1
"offpeak",11,46,"BS_1",26,1
"offpeak",11,46,"BS_10",11,1
"offpeak",11,46,"BS_11",7,1
