"period_label","period_hour","time_offset_sec","serving_bs_id","users_present","active_poi"
"peak",16,0,"BS_1",20,1
"peak",16,0,"BS_10",16,1
"peak",16,0,"BS_11",6,1
"peak",16,0,"BS_4",13,1
"peak",16,0,"BS_5",8,1
"peak",16,0,"BS_6",20,1
"peak",16,0,"BS_9",17,1
"peak",16,1,"BS_1",21,1
"peak",16,1,"BS_10",15,1
"peak",16,1,"BS_11",6,1
"peak",16,1,"BS_4",12,1
"peak",16,1,"BS_5",10,1
"peak",16,1,"BS_6",19,1
"peak",16,1,"BS_9",17,1
"peak",16,2,"BS_1",18,1
"peak",16,2,"BS_10",16,1
"peak",16,2,"BS_11",9,1
"peak",16,2,"BS_4",13,1
"peak",16,2,"BS_5",9,1
"peak",16,2,"BS_6",16,1
"peak",16,2,"BS_9",19,1
"peak",16,3,"BS_1",18,1
"peak",16,3,"BS_10",16,1
"peak",16,3,"BS_11",8,1
"peak",16,3,"BS_4",14,1
"peak",16,3,"BS_5",7,1
"peak",16,3,"BS_6",18,1
"peak",16,3,"BS_9",19,1
"peak",16,4,"BS_1",24,1
"peak",16,4,"BS_10",13,1
"peak",16,4,"BS_11",7,1
"peak",16,4,"BS_4",10,1
"peak",16,4,"BS_5",9,1
"peak",16,4,"BS_6",19,1
"peak",16,4,"BS_9",18,1
"peak",16,5,"BS_1",25,1
"peak",16,5,"BS_10",14,1
"peak",16,5,"BS_11",7,1
"peak",16,5,"BS_4",8,1
"peak",16,5,"BS_5",7,1
"peak",16,5,"BS_6",19,1
"peak",16,5,"BS_9",20,1
"peak",16,6,"BS_1",25,1
"peak",16,6,"BS_10",17,1
"peak",16,6,"BS_11",5,1
"peak",16,6,"BS_4",7,1
"peak",16,6,"BS_5",9,1
"peak",16,6,"BS_6",18,1
"peak",16,6,"BS_9",19,1
"peak",16,7,"BS_1",27,1
"peak",16,7,"BS_10",17,1
"peak",16,7,"BS_11",4,1
"peak",16,7,"BS_4",5,1
"peak",16,7,"BS_5",8,1
"peak",16,7,"BS_6",18,1
"peak",16,7,"BS_9",21,1
"peak",16,8,"BS_1",23,1
"peak",16,8,"BS_10",21,1
"peak",16,8,"BS_11",4,1
"peak",16,8,"BS_4",5,1
"peak",16,8,"BS_5",10,1
"peak",16,8,"BS_6",15,1
"peak",16,8,"BS_9",22,1
"peak",16,9,"BS_1",20,1
"peak",16,9,"BS_10",21,1
"peak",16,9,"BS_11",7,1
"peak",16,9,"BS_4",6,1
"peak",16,9,"BS_5",11,1
"peak",16,9,"BS_6",12,1
"peak",16,9,"BS_9",23,1
"peak",16,10,"BS_1",17,1
"peak",16,10,"BS_10",19,1
"peak",16,10,"BS_11",8,1
"peak",16,10,"BS_4",4,1
