"time_offset_sec","BS_1","BS_10","BS_11","BS_2","BS_3","BS_4","BS_5","BS_6","BS_7","BS_8","BS_9"
0,12,9,12,10,5,12,11,13,5,4,7
1,12,9,12,10,5,11,11,14,5,4,7
2,12,9,12,10,5,11,11,14,5,4,7
3,12,9,12,10,5,11,11,14,5,4,7
4,12,9,12,10,5,11,11,14,5,4,7
5,12,9,12,10,5,11,11,14,5,4,7
6,12,9,12,10,5,11,11,14,5,4,7
7,12,9,12,10,5,11,11,14,5,4,7
8,12,9,12,10,5,11,11,14,5,4,7
9,12,9,12,10,5,11,11,14,5,4,7
10,12,9,12,11,5,11,11,14,4,4,7
11,12,9,12,11,5,11,11,14,4,4,7
12,12,9,12,11,5,11,11,14,4,4,7
13,12,9,12,11,5,11,11,14,4,4,7
14,12,9,12,11,5,11,11,14,4,4,7
15,12,9,12,11,5,11,11,14,4,4,7
16,12,9,12,11,5,11,11,14,4,4,7
17,12,9,12,11,5,11,11,14,4,4,7
18,12,9,12,11,5,11,11,14,4,4,7
19,12,9,12,11,5,11,11,14,4,4,7
20,12,9,12,11,5,11,11,14,4,4,7
21,12,9,12,11,5,11,11,14,4,4,7
22,12,9,12,11,5,11,11,14,4,4,7
23,12,9,12,11,5,11,11,14,4,4,7
24,13,9,12,11,5,11,11,13,4,4,7
25,13,9,12,11,5,11,11,13,4,4,7
26,13,9,12,11,5,11,11,13,4,4,7
27,13,9,12,11,5,11,11,13,4,4,7
28,13,9,12,11,5,11,11,13,4,4,7
29,12,9,12,11,5,11,11,14,4,4,7
30,13,9,12,11,5,11,11,13,4,4,7
31,13,9,12,11,5,11,11,13,4,4,7
32,13,9,12,10,5,11,11,13,5,4,7
33,12,9,12,10,5,11,11,14,5,4,7
34,12,9,12,10,5,11,11,14,5,4,7
35,12,9,12,11,5,11,11,14,4,4,7
36,12,9,12,11,5,11,11,14,4,4,7
37,12,9,12,11,5,11,11,14,4,4,7
38,13,10,12,10,5,11,10,13,5,4,7
39,12,9,12,11,5,11,11,14,4,4,7
