"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/active_gnb_count","2026-05-08_13-32 - external/active_gnb_count__MIN","2026-05-08_13-32 - external/active_gnb_count__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"0","6","6","6","0","0","0","4","4","4","0","0","0","4","4","4","0","0","0","4","4","4","0","0","0","5","5","5","113","113","113","8","8","8","0","0","0","4","4","4","0","0","0","5","5","5","0","0","0","4","4","4","0","0","0"
"1","5","5","5","1","1","1","3","3","3","1","1","1","5","5","5","1","1","1","4","4","4","1","1","1","6","6","6","176","176","176","4","4","4","1","1","1","7","7","7","1","1","1","4","4","4","1","1","1","6","6","6","1","1","1"
"2","5","5","5","2","2","2","4","4","4","2","2","2","8","8","8","2","2","2","4","4","4","2","2","2","6","6","6","442","442","442","5","5","5","2","2","2","4","4","4","2","2","2","7","7","7","2","2","2","2","2","2","2","2","2"
"3","7","7","7","3","3","3","5","5","5","3","3","3","7","7","7","3","3","3","7","7","7","3","3","3","6","6","6","648","648","648","6","6","6","3","3","3","6","6","6","3","3","3","8","8","8","3","3","3","8","8","8","3","3","3"
"4","6","6","6","4","4","4","6","6","6","4","4","4","3","3","3","4","4","4","7","7","7","4","4","4","6","6","6","679","679","679","3","3","3","4","4","4","4","4","4","4","4","4","7","7","7","4","4","4","8","8","8","4","4","4"
"5","3","3","3","5","5","5","7","7","7","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","738","738","738","7","7","7","5","5","5","6","6","6","5","5","5","3","3","3","5","5","5","5","5","5","5","5","5"
"6","7","7","7","6","6","6","4","4","4","6","6","6","8","8","8","6","6","6","5","5","5","6","6","6","6","6","6","947","947","947","7","7","7","6","6","6","7","7","7","6","6","6","7","7","7","6","6","6","7","7","7","6","6","6"
"7","5","5","5","7","7","7","6","6","6","7","7","7","3","3","3","7","7","7","5","5","5","7","7","7","6","6","6","980","980","980","5","5","5","7","7","7","6","6","6","7","7","7","8","8","8","7","7","7","5","5","5","7","7","7"
"8","6","6","6","8","8","8","5","5","5","8","8","8","7","7","7","8","8","8","4","4","4","8","8","8","5","5","5","1041","1041","1041","5","5","5","8","8","8","5","5","5","8","8","8","6","6","6","8","8","8","9","9","9","8","8","8"
"9","2","2","2","9","9","9","5","5","5","9","9","9","5","5","5","9","9","9","7","7","7","9","9","9","6","6","6","1246","1246","1246","9","9","9","9","9","9","8","8","8","9","9","9","4","4","4","9","9","9","3","3","3","9","9","9"
"10","6","6","6","10","10","10","6","6","6","10","10","10","10","10","10","10","10","10","5","5","5","10","10","10","6","6","6","1278","1278","1278","6","6","6","10","10","10","4","4","4","10","10","10","5","5","5","10","10","10","5","5","5","10","10","10"
"11","3","3","3","11","11","11","6","6","6","11","11","11","5","5","5","11","11","11","4","4","4","11","11","11","5","5","5","1340","1340","1340","5","5","5","11","11","11","6","6","6","11","11","11","7","7","7","11","11","11","8","8","8","11","11","11"
"12","3","3","3","12","12","12","7","7","7","12","12","12","4","4","4","12","12","12","5","5","5","12","12","12","6","6","6","1372","1372","1372","5","5","5","12","12","12","5","5","5","12","12","12","5","5","5","12","12","12","8","8","8","12","12","12"
"13","7","7","7","13","13","13","5","5","5","13","13","13","7","7","7","13","13","13","4","4","4","13","13","13","5","5","5","1433","1433","1433","6","6","6","13","13","13","4","4","4","13","13","13","8","8","8","13","13","13","6","6","6","13","13","13"
"14","8","8","8","14","14","14","4","4","4","14","14","14","5","5","5","14","14","14","5","5","5","14","14","14","6","6","6","1630","1630","1630","7","7","7","14","14","14","7","7","7","14","14","14","6","6","6","14","14","14","4","4","4","14","14","14"
"15","5","5","5","15","15","15","5","5","5","15","15","15","5","5","5","15","15","15","5","5","5","15","15","15","5","5","5","1687","1687","1687","5","5","5","15","15","15","2","2","2","15","15","15","6","6","6","15","15","15","9","9","9","15","15","15"
"16","4","4","4","16","16","16","3","3","3","16","16","16","5","5","5","16","16","16","4","4","4","16","16","16","5","5","5","1747","1747","1747","9","9","9","16","16","16","9","9","9","16","16","16","5","5","5","16","16","16","4","4","4","16","16","16"
"17","5","5","5","17","17","17","5","5","5","17","17","17","8","8","8","17","17","17","5","5","5","17","17","17","5","5","5","1807","1807","1807","4","4","4","17","17","17","3","3","3","17","17","17","4","4","4","17","17","17","5","5","5","17","17","17"
"18","3","3","3","18","18","18","8","8","8","18","18","18","6","6","6","18","18","18","3","3","3","18","18","18","5","5","5","1865","1865","1865","6","6","6","18","18","18","6","6","6","18","18","18","5","5","5","18","18","18","8","8","8","18","18","18"
"19","3","3","3","19","19","19","4","4","4","19","19","19","7","7","7","19","19","19","6","6","6","19","19","19","5","5","5","1925","1925","1925","9","9","9","19","19","19","7","7","7","19","19","19","5","5","5","19","19","19","6","6","6","19","19","19"
"20","3","3","3","20","20","20","3","3","3","20","20","20","4","4","4","20","20","20","4","4","4","20","20","20","5","5","5","1981","1981","1981","4","4","4","20","20","20","5","5","5","20","20","20","5","5","5","20","20","20","9","9","9","20","20","20"
"21","4","4","4","21","21","21","7","7","7","21","21","21","3","3","3","21","21","21","6","6","6","21","21","21","5","5","5","2041","2041","2041","5","5","5","21","21","21","5","5","5","21","21","21","7","7","7","21","21","21","1","1","1","21","21","21"
"22","7","7","7","22","22","22","6","6","6","22","22","22","8","8","8","22","22","22","5","5","5","22","22","22","5","5","5","2101","2101","2101","8","8","8","22","22","22","8","8","8","22","22","22","3","3","3","22","22","22","5","5","5","22","22","22"
"23","9","9","9","23","23","23","7","7","7","23","23","23","8","8","8","23","23","23","7","7","7","23","23","23","5","5","5","2158","2158","2158","6","6","6","23","23","23","9","9","9","23","23","23","7","7","7","23","23","23","8","8","8","23","23","23"
"24","9","9","9","24","24","24","7","7","7","24","24","24","4","4","4","24","24","24","7","7","7","24","24","24","5","5","5","2219","2219","2219","6","6","6","24","24","24","2","2","2","24","24","24","2","2","2","24","24","24","5","5","5","24","24","24"
"25","5","5","5","25","25","25","5","5","5","25","25","25","3","3","3","25","25","25","7","7","7","25","25","25","5","5","5","2278","2278","2278","6","6","6","25","25","25","3","3","3","25","25","25","7","7","7","25","25","25","6","6","6","25","25","25"
"26","2","2","2","26","26","26","6","6","6","26","26","26","5","5","5","26","26","26","5","5","5","26","26","26","5","5","5","2335","2335","2335","6","6","6","26","26","26","7","7","7","26","26","26","6","6","6","26","26","26","5","5","5","26","26","26"
"27","6","6","6","27","27","27","6","6","6","27","27","27","4","4","4","27","27","27","5","5","5","27","27","27","5","5","5","2393","2393","2393","6","6","6","27","27","27","5","5","5","27","27","27","6","6","6","27","27","27","7","7","7","27","27","27"
"28","8","8","8","28","28","28","7","7","7","28","28","28","4","4","4","28","28","28","5","5","5","28","28","28","5","5","5","2453","2453","2453","7","7","7","28","28","28","4","4","4","28","28","28","4","4","4","28","28","28","5","5","5","28","28","28"
"29","7","7","7","29","29","29","8","8","8","29","29","29","3","3","3","29","29","29","5","5","5","29","29","29","5","5","5","2514","2514","2514","5","5","5","29","29","29","7","7","7","29","29","29","4","4","4","29","29","29","4","4","4","29","29","29"
"30","4","4","4","30","30","30","7","7","7","30","30","30","5","5","5","30","30","30","7","7","7","30","30","30","5","5","5","2572","2572","2572","5","5","5","30","30","30","5","5","5","30","30","30","4","4","4","30","30","30","4","4","4","30","30","30"
"31","3","3","3","31","31","31","8","8","8","31","31","31","6","6","6","31","31","31","3","3","3","31","31","31","5","5","5","2632","2632","2632","8","8","8","31","31","31","5","5","5","31","31","31","7","7","7","31","31","31","3","3","3","31","31","31"
"32","4","4","4","32","32","32","6","6","6","32","32","32","4","4","4","32","32","32","4","4","4","32","32","32","5","5","5","2692","2692","2692","6","6","6","32","32","32","1","1","1","32","32","32","6","6","6","32","32","32","4","4","4","32","32","32"
"33","7","7","7","33","33","33","5","5","5","33","33","33","6","6","6","33","33","33","4","4","4","33","33","33","5","5","5","2751","2751","2751","4","4","4","33","33","33","7","7","7","33","33","33","6","6","6","33","33","33","7","7","7","33","33","33"
"34","7","7","7","34","34","34","10","10","10","34","34","34","6","6","6","34","34","34","6","6","6","34","34","34","5","5","5","2810","2810","2810","7","7","7","34","34","34","5","5","5","34","34","34","6","6","6","34","34","34","4","4","4","34","34","34"
"35","3","3","3","35","35","35","7","7","7","35","35","35","7","7","7","35","35","35","4","4","4","35","35","35","5","5","5","2871","2871","2871","6","6","6","35","35","35","5","5","5","35","35","35","4","4","4","35","35","35","2","2","2","35","35","35"
"36","4","4","4","36","36","36","4","4","4","36","36","36","7","7","7","36","36","36","5","5","5","36","36","36","5","5","5","2932","2932","2932","7","7","7","36","36","36","3","3","3","36","36","36","4","4","4","36","36","36","5","5","5","36","36","36"
"37","7","7","7","37","37","37","5","5","5","37","37","37","2","2","2","37","37","37","4","4","4","37","37","37","5","5","5","2991","2991","2991","6","6","6","37","37","37","6","6","6","37","37","37","8","8","8","37","37","37","5","5","5","37","37","37"
"38","7","7","7","38","38","38","3","3","3","38","38","38","4","4","4","38","38","38","4","4","4","38","38","38","5","5","5","3050","3050","3050","8","8","8","38","38","38","7","7","7","38","38","38","5","5","5","38","38","38","8","8","8","38","38","38"
