"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/aggregate_throughput_mbps","2026-05-08_13-32 - external/aggregate_throughput_mbps__MIN","2026-05-08_13-32 - external/aggregate_throughput_mbps__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"0","36.343","36.343","36.343","0","0","0","33.294","33.294","33.294","0","0","0","36.071","36.071","36.071","0","0","0","35.589","35.589","35.589","0","0","0","32.728","32.728","32.728","113","113","113","36.291","36.291","36.291","0","0","0","18.277","18.277","18.277","0","0","0","36.061","36.061","36.061","0","0","0","36.343","36.343","36.343","0","0","0"
"1","35.946","35.946","35.946","1","1","1","38.786","38.786","38.786","1","1","1","35.946","35.946","35.946","1","1","1","19.199","19.199","19.199","1","1","1","34.279","34.279","34.279","176","176","176","33.986","33.986","33.986","1","1","1","41.175","41.175","41.175","1","1","1","35.862","35.862","35.862","1","1","1","35.862","35.862","35.862","1","1","1"
"2","35.442","35.442","35.442","2","2","2","33.053","33.053","33.053","2","2","2","36.291","36.291","36.291","2","2","2","35.704","35.704","35.704","2","2","2","37.727","37.727","37.727","442","442","442","37.654","37.654","37.654","2","2","2","32.54","32.54","32.54","2","2","2","35.904","35.904","35.904","2","2","2","18.308","18.308","18.308","2","2","2"
"3","36.029","36.029","36.029","3","3","3","40.106","40.106","40.106","3","3","3","35.924","35.924","35.924","3","3","3","36.071","36.071","36.071","3","3","3","37.245","37.245","37.245","648","648","648","34.604","34.604","34.604","3","3","3","39.026","39.026","39.026","3","3","3","35.495","35.495","35.495","3","3","3","35.023","35.023","35.023","3","3","3"
"4","34.866","34.866","34.866","4","4","4","34.677","34.677","34.677","4","4","4","35.159","35.159","35.159","4","4","4","33.032","33.032","33.032","4","4","4","35.61","35.61","35.61","679","679","679","33.619","33.619","33.619","4","4","4","35.485","35.485","35.485","4","4","4","36.647","36.647","36.647","4","4","4","36.637","36.637","36.637","4","4","4"
"5","36.595","36.595","36.595","5","5","5","32.77","32.77","32.77","5","5","5","34.981","34.981","34.981","5","5","5","38.461","38.461","38.461","5","5","5","36.208","36.208","36.208","738","738","738","34.331","34.331","34.331","5","5","5","34.321","34.321","34.321","5","5","5","34.604","34.604","34.604","5","5","5","30.077","30.077","30.077","5","5","5"
"6","36.533","36.533","36.533","6","6","6","37.067","37.067","37.067","6","6","6","36.7","36.7","36.7","6","6","6","36.008","36.008","36.008","6","6","6","35.222","35.222","35.222","947","947","947","42.212","42.212","42.212","6","6","6","39.173","39.173","39.173","6","6","6","37.381","37.381","37.381","6","6","6","41.427","41.427","41.427","6","6","6"
"7","31.816","31.816","31.816","7","7","7","38.618","38.618","38.618","7","7","7","35.505","35.505","35.505","7","7","7","32.518","32.518","32.518","7","7","7","35.244","35.244","35.244","980","980","980","35.505","35.505","35.505","7","7","7","34.887","34.887","34.887","7","7","7","35.735","35.735","35.735","7","7","7","36.52","36.52","36.52","7","7","7"
"8","35.128","35.128","35.128","8","8","8","35.411","35.411","35.411","8","8","8","33.986","33.986","33.986","8","8","8","37.905","37.905","37.905","8","8","8","36.271","36.271","36.271","1041","1041","1041","35.107","35.107","35.107","8","8","8","36.878","36.878","36.878","8","8","8","36.281","36.281","36.281","8","8","8","35.223","35.223","35.223","8","8","8"
"9","40.505","40.505","40.505","9","9","9","37.067","37.067","37.067","9","9","9","38.639","38.639","38.639","9","9","9","37.695","37.695","37.695","9","9","9","35.945","35.945","35.945","1246","1246","1246","36.91","36.91","36.91","9","9","9","35.998","35.998","35.998","9","9","9","33.765","33.765","33.765","9","9","9","33.001","33.001","33.001","9","9","9"
"10","33.839","33.839","33.839","10","10","10","33.525","33.525","33.525","10","10","10","36.659","36.659","36.659","10","10","10","35.757","35.757","35.757","10","10","10","35.159","35.159","35.159","1278","1278","1278","36.009","36.009","36.009","10","10","10","30.789","30.789","30.789","10","10","10","33.451","33.451","33.451","10","10","10","39.153","39.153","39.153","10","10","10"
