"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/step_reward","2026-05-08_13-32 - external/step_reward__MIN","2026-05-08_13-32 - external/step_reward__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"0","9.343000000000004","9.343000000000004","9.343000000000004","0","0","0","10.293999999999997","10.293999999999997","10.293999999999997","0","0","0","13.070999999999998","13.070999999999998","13.070999999999998","0","0","0","12.588999999999999","12.588999999999999","12.588999999999999","0","0","0","7.7280000000000015","7.7280000000000015","7.7280000000000015","113","113","113","5.290999999999997","5.290999999999997","5.290999999999997","0","0","0","-4.722999999999999","-4.722999999999999","-4.722999999999999","0","0","0","11.061","11.061","11.061","0","0","0","13.343000000000004","13.343000000000004","13.343000000000004","0","0","0"
"1","10.945999999999998","10.945999999999998","10.945999999999998","1","1","1","17.786","17.786","17.786","1","1","1","10.945999999999998","10.945999999999998","10.945999999999998","1","1","1","-3.8009999999999984","-3.8009999999999984","-3.8009999999999984","1","1","1","7.2790000000000035","7.2790000000000035","7.2790000000000035","176","176","176","10.985999999999997","10.985999999999997","10.985999999999997","1","1","1","12.174999999999997","12.174999999999997","12.174999999999997","1","1","1","12.862000000000002","12.862000000000002","12.862000000000002","1","1","1","8.862000000000002","8.862000000000002","8.862000000000002","1","1","1"
"2","10.442","10.442","10.442","2","2","2","10.052999999999997","10.052999999999997","10.052999999999997","2","2","2","5.290999999999997","5.290999999999997","5.290999999999997","2","2","2","12.704","12.704","12.704","2","2","2","10.726999999999997","10.726999999999997","10.726999999999997","442","442","442","12.654000000000003","12.654000000000003","12.654000000000003","2","2","2","9.54","9.54","9.54","2","2","2","6.9040000000000035","6.9040000000000035","6.9040000000000035","2","2","2","-0.6920000000000002","-0.6920000000000002","-0.6920000000000002","2","2","2"
"3","7.0290000000000035","7.0290000000000035","7.0290000000000035","3","3","3","15.106000000000002","15.106000000000002","15.106000000000002","3","3","3","6.9239999999999995","6.9239999999999995","6.9239999999999995","3","3","3","7.070999999999998","7.070999999999998","7.070999999999998","3","3","3","10.244999999999997","10.244999999999997","10.244999999999997","648","648","648","7.603999999999999","7.603999999999999","7.603999999999999","3","3","3","12.026000000000003","12.026000000000003","12.026000000000003","3","3","3","4.494999999999997","4.494999999999997","4.494999999999997","3","3","3","4.023000000000003","4.023000000000003","4.023000000000003","3","3","3"
"4","7.866","7.866","7.866","4","4","4","7.677","7.677","7.677","4","4","4","14.158999999999999","14.158999999999999","14.158999999999999","4","4","4","4.0319999999999965","4.0319999999999965","4.0319999999999965","4","4","4","8.61","8.61","8.61","679","679","679","12.619","12.619","12.619","4","4","4","12.485","12.485","12.485","4","4","4","7.6469999999999985","7.6469999999999985","7.6469999999999985","4","4","4","5.6370000000000005","5.6370000000000005","5.6370000000000005","4","4","4"
"5","15.594999999999999","15.594999999999999","15.594999999999999","5","5","5","3.770000000000003","3.770000000000003","3.770000000000003","5","5","5","11.981000000000002","11.981000000000002","11.981000000000002","5","5","5","13.460999999999999","13.460999999999999","13.460999999999999","5","5","5","11.207999999999998","11.207999999999998","11.207999999999998","738","738","738","5.331000000000003","5.331000000000003","5.331000000000003","5","5","5","7.320999999999998","7.320999999999998","7.320999999999998","5","5","5","13.604","13.604","13.604","5","5","5","5.077000000000002","5.077000000000002","5.077000000000002","5","5","5"
"6","7.533000000000001","7.533000000000001","7.533000000000001","6","6","6","14.067","14.067","14.067","6","6","6","5.700000000000003","5.700000000000003","5.700000000000003","6","6","6","11.008000000000003","11.008000000000003","11.008000000000003","6","6","6","8.222000000000001","8.222000000000001","8.222000000000001","947","947","947","13.212000000000003","13.212000000000003","13.212000000000003","6","6","6","10.173000000000002","10.173000000000002","10.173000000000002","6","6","6","8.381","8.381","8.381","6","6","6","12.427","12.427","12.427","6","6","6"
"7","6.815999999999999","6.815999999999999","6.815999999999999","7","7","7","11.618000000000002","11.618000000000002","11.618000000000002","7","7","7","14.505000000000003","14.505000000000003","14.505000000000003","7","7","7","7.518000000000001","7.518000000000001","7.518000000000001","7","7","7","8.244","8.244","8.244","980","980","980","10.505000000000003","10.505000000000003","10.505000000000003","7","7","7","7.8870000000000005","7.8870000000000005","7.8870000000000005","7","7","7","4.734999999999999","4.734999999999999","4.734999999999999","7","7","7","11.520000000000003","11.520000000000003","11.520000000000003","7","7","7"
"8","8.128","8.128","8.128","8","8","8","10.411000000000001","10.411000000000001","10.411000000000001","8","8","8","4.985999999999997","4.985999999999997","4.985999999999997","8","8","8","14.905000000000001","14.905000000000001","14.905000000000001","8","8","8","11.271","11.271","11.271","1041","1041","1041","10.107","10.107","10.107","8","8","8","11.878","11.878","11.878","8","8","8","9.280999999999999","9.280999999999999","9.280999999999999","8","8","8","2.222999999999999","2.222999999999999","2.222999999999999","8","8","8"
"9","21.505000000000003","21.505000000000003","21.505000000000003","9","9","9","12.067","12.067","12.067","9","9","9","13.639000000000003","13.639000000000003","13.639000000000003","9","9","9","8.695","8.695","8.695","9","9","9","8.945","8.945","8.945","1246","1246","1246","3.9099999999999966","3.9099999999999966","3.9099999999999966","9","9","9","4.9979999999999976","4.9979999999999976","4.9979999999999976","9","9","9","10.765","10.765","10.765","9","9","9","12.000999999999998","12.000999999999998","12.000999999999998","9","9","9"
